Region,Site Name,EPA ID,City,State,Zip Code,County,Primary Latitude,Primary Longitude,FF,NAI,NPL Status,Site Category,Category Code,HRS Score,Listing (Finalized) Date,Proposed Date,Preferred Contaminant Name,CAS Number,Site ID
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"1,2-DIHYDROACENAPHTHYLENE",83-32-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"1,3-DICHLOROBENZENE",541-73-1,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"1,4-DICHLOROBENZENE",106-46-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"2,4-DINITROTOLUENE",121-14-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,2-CHLORONAPHTHALENE,91-58-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,2-CHLOROPHENOL,95-57-8,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,2-METHYLNAPHTHALENE,91-57-6,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,2-METHYLPHENOL (O-CRESOL),95-48-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,2-NITROPHENOL,88-75-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE",78-59-1,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,4-(4-AMINO-3-CHLOROPHENYL)-2-CHLOROANILINE,91-94-1,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,4-METHYLPHENOL (P-CRESOL),106-44-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,4-NITROPHENOL,100-02-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,ACENAPHTHYLENE,208-96-8,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,ALDRIN,309-00-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,ALUMINUM,7429-90-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,ANTHRACENE,120-12-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,ANTIMONY,7440-36-0,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,AROCLOR 1260,11096-82-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,ARSENIC,7440-38-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BARIUM,7440-39-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BENZENE,71-43-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BENZO(B)FLUORANTHENE,205-99-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BENZO(GHI)PERYLENE,191-24-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BENZO(K)FLUORANTHENE,207-08-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BENZOIC ACID,65-85-0,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BENZO[A]ANTHRACENE,56-55-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BENZO[A]PYRENE,50-32-8,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BERYLLIUM,7440-41-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BERYLLIUM COMPOUNDS,E649947,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BETA-HEXACHLOROCYCLOHEXANE,319-85-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BIS(2-CHLOROISOPROPYL) ETHER,39638-32-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BIS(2-ETHYLHEXYL)PHTHALATE,117-81-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,BUTYL BENZYL PHTHALATE,85-68-7,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,CADMIUM,7440-43-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,CHLOROMETHANE,74-87-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,CHROMIUM,7440-47-3,100376
