Rank,epoch,train_MSE,train_RMSE,train_R2,validation_MSE,validation_RMSE,validation_R2,best_so_far
1524,10,6702.911133,81.87130836,-0.986523628,6561.103027,81.00063597,-0.926781178,TRUE
1525,18,7143.906738,84.52163474,-1.117220163,7425.38916,86.1706978,-1.180593491,FALSE
1526,9,8894.947266,94.31302808,-1.636171341,8408.759766,91.69928989,-1.469377518,TRUE
1527,14,8740.876953,93.49265722,-1.59051013,8987.074219,94.80018048,-1.63920927,FALSE
1528,11,9727.917969,98.6302082,-1.883036613,9920.798828,99.60320692,-1.913413525,FALSE
1529,13,11780.25293,108.5368736,-2.491281509,11935.18652,109.2482793,-2.504973412,FALSE
1530,12,12668.99805,112.5566437,-2.75467658,12814.47168,113.2010233,-2.763190746,FALSE
1531,8,19871.85742,140.9675758,-4.889368057,19698.95313,140.3529591,-4.784937382,TRUE
1532,6,23962.25977,154.7974798,-6.101629734,22856.19141,151.1826425,-5.712114811,TRUE
1533,7,25083.35742,158.377263,-6.433887005,24802.0332,157.4866128,-6.28354454,FALSE
1534,5,60363.66406,245.690179,-16.88981628,56887.27344,238.5105311,-15.7059288,TRUE
1535,4,113156.4844,336.3874022,-32.53588104,104260.5625,322.8940422,-29.61791229,TRUE
1536,3,126148.6406,355.174099,-36.38632965,129319.8125,359.6106401,-36.97699356,TRUE
1537,2,175318.5469,418.7105765,-50.95868301,177251.0625,421.0119505,-51.05282974,TRUE
1538,1,201199.7656,448.5529686,-58.62902832,201728.8438,449.1423424,-58.24115372,TRUE
