river_node_id,county_node_id,edge_type,fips
200003,1911,river <-> county,27141
200003,1909,river <-> county,27145
200003,1707,river <-> county,27009
200003,2616,river <-> county,27097
200003,288,river <-> county,27001
200003,1792,river <-> county,27035
200003,1544,river <-> county,27021
200003,1073,river <-> county,27061
200003,3006,river <-> county,27029
200003,903,river <-> county,27007
200004,1366,river <-> county,29151
200004,821,river <-> county,29051
200004,2308,river <-> county,29135
200004,1460,river <-> county,29073
200004,1016,river <-> county,29071
200004,1953,river <-> county,29189
200004,1481,river <-> county,29183
200004,1862,river <-> county,29219
200004,879,river <-> county,29139
200004,2329,river <-> county,29027
200004,2148,river <-> county,29053
200004,507,river <-> county,29019
200004,685,river <-> county,29089
200004,1005,river <-> county,29195
200004,2903,river <-> county,29033
200004,1031,river <-> county,29041
200004,1891,river <-> county,29095
200004,1273,river <-> county,20209
200004,1548,river <-> county,29107
200004,2955,river <-> county,20103
200004,2153,river <-> county,29047
200004,947,river <-> county,29177
200004,806,river <-> county,29165
200004,955,river <-> county,20005
200004,807,river <-> county,29021
200004,69,river <-> county,20043
200004,878,river <-> county,29003
200004,1490,river <-> county,29087
200004,2685,river <-> county,31147
200004,697,river <-> county,31127
200004,468,river <-> county,29005
200004,557,river <-> county,31131
200004,2251,river <-> county,19071
200004,764,river <-> county,31025
200004,1084,river <-> county,19129
200004,1672,river <-> county,31153
200004,1112,river <-> county,31055
200004,2025,river <-> county,19155
200004,2614,river <-> county,31177
200004,262,river <-> county,19085
200004,1823,river <-> county,31021
200004,2608,river <-> county,19133
200004,1194,river <-> county,31173
200004,2899,river <-> county,31027
200004,2340,river <-> county,19193
200004,95,river <-> county,31043
200004,1987,river <-> county,31051
200004,2926,river <-> county,46127
200004,1146,river <-> county,46027
200004,1615,river <-> county,46009
200004,1155,river <-> county,46135
200004,2898,river <-> county,46023
200004,3076,river <-> county,46053
200004,561,river <-> county,46015
200004,1409,river <-> county,46085
200004,2272,river <-> county,46017
200004,2422,river <-> county,46065
200004,2042,river <-> county,46117
200004,2423,river <-> county,46069
200004,622,river <-> county,46119
200004,2350,river <-> county,46107
200004,1122,river <-> county,46041
200004,740,river <-> county,46129
200004,3075,river <-> county,46031
200004,1579,river <-> county,46021
200004,1487,river <-> county,30007
200004,2902,river <-> county,30069
200004,270,river <-> county,30049
200004,433,river <-> county,38057
200004,2722,river <-> county,38025
200004,2378,river <-> county,30055
200004,1441,river <-> county,30027
200004,1178,river <-> county,30013
200004,472,river <-> county,30033
200004,178,river <-> county,30015
200004,2964,river <-> county,30071
200004,2096,river <-> county,38053
200004,1770,river <-> county,30083
200004,1494,river <-> county,38061
200004,2304,river <-> county,30085
200004,1421,river <-> county,38105
200004,2895,river <-> county,30105
200004,138,river <-> county,38085
200004,776,river <-> county,38029
200004,2821,river <-> county,38059
200004,487,river <-> county,38015
200004,2694,river <-> county,38065
200004,1528,river <-> county,38055
200004,2091,river <-> county,30005
200005,2496,river <-> county,29133
200005,2044,river <-> county,21007
200005,1898,river <-> county,21145
200005,2342,river <-> county,17003
200005,1583,river <-> county,17127
200005,2203,river <-> county,17153
200005,2398,river <-> county,21139
200005,265,river <-> county,17151
200005,331,river <-> county,21055
200005,1899,river <-> county,21225
200005,644,river <-> county,17059
200005,1423,river <-> county,17069
200005,3130,river <-> county,21163
200005,2534,river <-> county,21111
200005,1207,river <-> county,21059
200005,2437,river <-> county,21027
200005,1436,river <-> county,21101
200005,1185,river <-> county,21091
200005,2088,river <-> county,18147
200005,1015,river <-> county,18163
200005,386,river <-> county,18129
200005,112,river <-> county,18123
200005,234,river <-> county,18173
200005,3234,river <-> county,54099
200005,1706,river <-> county,21161
200005,3186,river <-> county,21019
200005,511,river <-> county,54011
200005,2056,river <-> county,21135
200005,1428,river <-> county,21089
200005,657,river <-> county,39087
200005,303,river <-> county,39145
200005,3172,river <-> county,39053
200005,659,river <-> county,39001
200005,2748,river <-> county,54053
200005,652,river <-> county,54035
200005,2728,river <-> county,39105
200005,1383,river <-> county,18061
200005,1283,river <-> county,18043
200005,2692,river <-> county,21185
200005,1502,river <-> county,18019
200005,2708,river <-> county,21223
