Ranking,best_val_RMSE,MinValRMSE_ThisValRMSE_Gulf,TRIAL,EPOCH,validation_RMSE,training_RMSE,training_MSE,MSE: val - train,RMSE: val - train,R2,hidden_channels,lr,dropout,weight_decay,num_layers,aggr
57,51.6953,2.1915,12,451,53.8867,74.2320,5510.3853,-2606.6084,-20.3453,0.1473,32,0.00389664,0.04876194,0.00000168,6,max
58,51.6953,2.3378,48,498,54.0331,67.5782,4566.8149,-1647.2407,-13.5451,0.1426,64,0.00444380,0.06212390,0.00004579,5,sum
59,51.6953,2.3673,91,420,54.0625,65.0769,4234.9985,-1312.2417,-11.0143,0.1417,64,0.00587081,0.04141199,0.00028580,5,mean
60,51.6953,2.4057,128,449,54.1009,68.6931,4718.7471,-1791.8367,-14.5922,0.1405,32,0.00551235,0.02693798,0.00000070,4,mean
61,51.6953,2.4111,67,409,54.1064,62.7914,3942.7563,-1015.2578,-8.6850,0.1403,64,0.00196315,0.01355754,0.00232277,5,sum
62,51.6953,2.4323,117,460,54.1276,61.1584,3740.3479,-810.5522,-7.0308,0.1396,64,0.00963059,0.01217443,0.00003624,4,mean
63,51.6953,2.4519,75,497,54.1472,75.3291,5674.4663,-2742.5471,-21.1819,0.1390,64,0.00206096,0.04699569,0.00029604,5,mean
64,51.6953,2.5625,27,424,54.2578,81.6567,6667.8232,-3723.9150,-27.3989,0.1355,32,0.00569424,0.07255622,0.00035320,4,sum
65,51.6953,2.6983,61,452,54.3935,53.9658,2912.3127,46.3411,0.4277,0.1311,64,0.00310909,0.00066262,0.00011650,5,sum
66,51.6953,2.7480,74,416,54.4433,82.8187,6858.9351,-3894.8652,-28.3754,0.1295,64,0.00692554,0.07491084,0.00051398,5,mean
67,51.6953,2.8117,59,335,54.5070,88.3585,7807.2300,-4836.2202,-33.8516,0.1275,64,0.00597239,0.08656865,0.00001176,5,sum
68,51.6953,2.8814,76,394,54.5767,72.2654,5222.2832,-2243.6704,-17.6887,0.1253,64,0.01213422,0.03122533,0.00000586,5,mean
69,51.6953,2.9847,41,453,54.6800,71.1067,5056.1558,-2066.2537,-16.4267,0.1220,32,0.00341624,0.03567466,0.00000058,6,sum
70,51.6953,3.0038,21,497,54.6990,72.7510,5292.7100,-2300.7263,-18.0520,0.1214,32,0.00280078,0.03563159,0.00000130,5,sum
71,51.6953,3.0726,3,322,54.7679,77.8428,6059.4937,-3059.9739,-23.0749,0.1191,64,0.01503033,0.07158721,0.00076994,3,sum
72,51.6953,3.3325,31,389,55.0278,78.7898,6207.8354,-3179.7791,-23.7620,0.1108,32,0.01323503,0.05333855,0.00000029,5,mean
73,51.6953,3.5068,62,497,55.2021,69.0009,4761.1235,-1713.8540,-13.7988,0.1051,64,0.00110576,0.01036081,0.00042886,5,sum
74,51.6953,3.8616,96,491,55.5569,67.7789,4593.9805,-1507.4167,-12.2221,0.0936,64,0.00086657,0.01594380,0.00002156,5,mean
75,51.6953,3.9081,88,370,55.6033,89.1862,7954.1855,-4862.4548,-33.5829,0.0921,64,0.00510581,0.10955420,0.00041109,5,mean
76,51.6953,3.9413,66,452,55.6366,93.1374,8674.5820,-5579.1526,-37.5009,0.0910,64,0.01993348,0.03540707,0.00022855,5,sum
77,51.6953,4.1917,86,304,55.8869,94.3768,8906.9814,-5783.6316,-38.4899,0.0828,64,0.01007321,0.08638067,0.00074006,5,mean
78,51.6953,4.2284,90,314,55.9236,91.8783,8441.6299,-5314.1775,-35.9547,0.0816,64,0.01140748,0.06363736,0.00009428,5,mean
79,51.6953,4.5276,49,296,56.2228,83.1482,6913.6289,-3752.6240,-26.9254,0.0717,64,0.01014413,0.14301891,0.00837372,3,sum
80,51.6953,5.1779,22,475,56.8732,75.3482,5677.3477,-2442.7905,-18.4750,0.0501,32,0.00104907,0.01036849,0.00000007,6,sum
81,51.6953,5.2024,33,497,56.8976,80.6061,6497.3398,-3260.0015,-23.7085,0.0493,32,0.00115733,0.02943383,0.00000008,5,mean
82,51.6953,5.8542,87,486,57.5495,106.7269,11390.6221,-8078.6809,-49.1774,0.0274,8,0.00693998,0.07471077,0.00007141,5,mean
83,51.6953,6.1412,77,353,57.8364,98.7523,9752.0176,-6406.9629,-40.9159,0.0177,64,0.00426207,0.19899735,0.88794838,5,mean
84,51.6953,6.2664,20,498,57.9617,58.2742,3395.8853,-36.3296,-0.3125,0.0134,32,0.00143747,0.00145488,0.00000855,6,max
85,51.6953,7.2887,118,467,58.9839,87.6701,7686.0459,-4206.9436,-28.6862,-0.0217,8,0.01289280,0.04533672,0.00048297,4,mean
86,51.6953,7.9594,95,499,59.6547,112.2486,12599.7568,-9041.0796,-52.5940,-0.0451,64,0.00287608,0.36682761,0.00004509,4,mean
87,51.6953,8.7070,70,486,60.4023,105.0755,11040.8613,-7392.4250,-44.6732,-0.0714,8,0.00524634,0.06352429,0.00003477,4,mean
88,51.6953,8.7167,37,247,60.4119,110.0899,12119.7773,-8470.1755,-49.6779,-0.0718,64,0.00942073,0.14636768,0.00027743,6,max
89,51.6953,8.8035,32,257,60.4988,102.6588,10538.8262,-6878.7273,-42.1600,-0.0749,32,0.00909079,0.10054145,0.00000004,6,mean
90,51.6953,8.9778,5,422,60.6731,121.6384,14795.9023,-11114.6773,-60.9653,-0.0811,32,0.00890541,0.39033367,0.10286231,2,max
91,51.6953,9.4057,35,483,61.1009,126.7453,16064.3682,-12331.0474,-65.6444,-0.0964,8,0.00390567,0.11504514,0.00002603,6,mean
92,51.6953,9.7643,18,429,61.4596,130.7884,17105.6035,-13328.3215,-69.3288,-0.1093,32,0.00228723,0.22284538,0.00000683,6,max
93,51.6953,9.9222,69,497,61.6174,66.8658,4471.0322,-674.3276,-5.2484,-0.1150,64,0.00131432,0.04994763,0.00002075,2,mean
94,51.6953,11.9933,38,232,63.6886,101.1761,10236.6055,-6180.3679,-37.4875,-0.1912,32,0.02519703,0.08043154,0.00000003,4,sum
95,51.6953,12.0375,11,392,63.7328,133.0199,17694.2871,-13632.4199,-69.2871,-0.1928,32,0.00666160,0.39599351,0.00236752,3,max
96,51.6953,13.2135,127,299,64.9088,94.5612,8941.8242,-4728.6768,-29.6525,-0.2373,32,0.02372444,0.03396855,0.00346548,4,mean
97,51.6953,13.8590,39,313,65.5542,120.2054,14449.3408,-10151.9844,-54.6512,-0.2620,64,0.01437631,0.26965050,0.00000036,3,mean
98,51.6953,15.4949,43,496,67.1901,94.5210,8934.2148,-4419.7026,-27.3309,-0.3258,32,0.00069771,0.02158722,0.00000410,6,sum
99,51.6953,16.8291,7,196,68.5243,115.3517,13306.0078,-8610.4253,-46.8273,-0.3789,64,0.01398025,0.15047762,0.01643753,4,sum
100,51.6953,19.0582,10,91,70.7534,95.2230,9067.4141,-4061.3701,-24.4696,-0.4701,8,0.04389139,0.00993518,0.00001839,6,sum
101,51.6953,19.3007,25,232,70.9960,135.9571,18484.3398,-13443.9146,-64.9612,-0.4802,8,0.02746551,0.12621803,0.00000001,6,sum
102,51.6953,19.6089,65,115,71.3042,83.1441,6912.9390,-1828.6528,-11.8399,-0.4931,64,0.01180652,0.00041926,0.04078088,5,sum
103,51.6953,19.6958,89,184,71.3910,103.7285,10759.6065,-5662.9292,-32.3375,-0.4967,64,0.01486279,0.05557391,0.00101338,5,mean
104,51.6953,19.7521,47,117,71.4473,122.8153,15083.5938,-9978.8755,-51.3680,-0.4991,64,0.01777349,0.08862286,0.00020270,4,sum
105,51.6953,25.4827,79,360,77.1779,125.7283,15807.5938,-9851.1587,-48.5503,-0.7492,64,0.01761597,0.09622177,0.00000249,5,mean
106,51.6953,30.7174,56,499,82.4127,116.4414,13558.5938,-6766.7456,-34.0287,-0.9945,64,0.00053220,0.06573018,0.01971587,5,sum
107,51.6953,39.0696,29,443,90.7649,196.8908,38766.0039,-30527.7451,-106.1260,-1.4193,8,0.00530833,0.24012818,0.00000005,4,mean
108,51.6953,41.7088,45,441,93.4041,182.4500,33287.9844,-24563.6592,-89.0459,-1.5620,8,0.00745403,0.34637160,0.00130933,6,sum
109,51.6953,42.5249,28,162,94.2202,159.3270,25385.0898,-16507.6455,-65.1068,-1.6070,32,0.02404976,0.17535974,0.00005286,4,max
110,51.6953,65.8573,36,495,117.5525,157.2453,24726.0918,-10907.4932,-39.6928,-3.0581,32,0.00075043,0.16294111,0.00000420,5,sum
111,51.6953,81.0148,99,493,132.7101,237.7406,56520.6133,-38908.6523,-105.0306,-4.1721,8,0.00232306,0.26797176,0.00058022,5,mean
112,51.6953,133.8932,2,500,185.5884,186.4097,34748.5742,-305.5156,-0.8213,-9.1148,64,0.00081623,0.12778002,0.00000002,2,sum
113,51.6953,148.7713,116,189,200.4666,204.8092,41946.8242,-1759.9805,-4.3427,-10.8016,64,0.02084178,0.02413323,0.00059724,4,mean
114,51.6953,161.0139,34,445,212.7092,278.5559,77593.3750,-32348.1758,-65.8467,-12.2870,32,0.05435446,0.07028341,0.00000001,4,mean
115,51.6953,161.3200,50,479,213.0153,232.9918,54285.1602,-8909.6445,-19.9765,-12.3253,64,0.03216105,0.04421313,0.00061564,4,sum
116,51.6953,163.8682,97,405,215.5634,253.8164,64422.7695,-17955.1719,-38.2530,-12.6460,64,0.03638123,0.04908381,0.00008897,5,max
117,51.6953,191.1388,9,500,242.8340,245.1621,60104.4688,-1136.1094,-2.3281,-16.3171,64,0.00046224,0.32622922,0.00648648,4,max
118,51.6953,230.2343,23,500,281.9296,293.6214,86213.5391,-6729.2578,-11.6919,-22.3419,32,0.00041173,0.07841792,0.00000262,5,sum
119,51.6953,301.8707,55,500,353.5659,352.9589,124579.9688,428.8984,0.6071,-35.7110,64,0.00022005,0.01816348,0.00088249,5,sum
120,51.6953,307.0207,16,500,358.7159,363.4650,132106.7812,-3429.6484,-4.7490,-36.7883,32,0.00030320,0.09610215,0.00000056,5,max
121,51.6953,315.7305,19,498,367.4257,369.4641,136503.7500,-1502.0938,-2.0384,-38.6456,32,0.00014428,0.10431659,0.00000015,5,mean
122,51.6953,315.7714,80,498,367.4666,365.9842,133944.4062,1087.3125,1.4825,-38.6544,64,0.00008615,0.05554648,0.00000929,5,mean
123,51.6953,317.4259,1,500,369.1212,369.9290,136847.4375,-597.0156,-0.8078,-39.0123,64,0.00005659,0.17671561,0.00011881,2,max
124,51.6953,331.9225,6,500,383.6177,383.9823,147442.4219,-279.8594,-0.3646,-42.2168,64,0.00002565,0.21876594,0.30529550,2,sum
125,51.6953,338.3565,8,500,390.0517,390.4239,152430.8438,-290.5000,-0.3722,-43.6786,32,0.00006251,0.31462291,0.10274073,3,mean
126,51.6953,360.4383,40,500,412.1335,407.2220,165829.7500,4024.3125,4.9116,-48.8806,32,0.00001107,0.02276209,0.00000013,5,max
127,51.6953,391.4657,4,500,443.1609,441.6197,195027.9844,1363.6406,1.5412,-56.6738,8,0.00005280,0.30480923,0.00007691,3,mean
128,51.6953,405.6824,17,500,457.3776,457.1422,208979.0000,215.2969,0.2354,-60.4335,32,0.09451715,0.04802445,0.00000022,5,sum
129,51.6953,410.1209,0,500,461.8162,461.1920,212698.0938,576.0781,0.6241,-61.6316,8,0.00001991,0.28802178,0.00000003,2,mean
