Rank,trial_number,timestamp,train_MSE,train_RMSE,train_R2,validation_MSE,validation_RMSE,validation_R2,hidden_channels,lr,dropout,weight_decay,num_layers,aggr,activation,batch_norm,residual,accumulation_steps,state
287,188,4/29/2025 20:04,2823.113037,53.13297504,0.163321614,3009.404785,54.85804212,0.116236329,192,0.003010592,0.243188673,5.77E-05,3,mean,relu,FALSE,TRUE,6,2
288,216,4/29/2025 20:04,2786.927246,52.79135579,0.17404592,3011.982178,54.88152857,0.115479469,192,0.004215924,0.215653643,7.49E-05,4,mean,relu,FALSE,TRUE,6,2
289,291,4/29/2025 20:04,2813.057129,53.03826099,0.166301847,3012.030273,54.88196674,0.115465343,192,0.003175809,0.203586077,4.96E-05,3,mean,relu,FALSE,TRUE,6,2
290,16,4/29/2025 20:04,2363.940674,48.62037303,0.299405277,3012.164063,54.88318561,0.115426064,192,0.003036186,0.220094288,3.59E-05,5,mean,relu,FALSE,TRUE,8,1
291,32,4/29/2025 20:04,2829.601074,53.19399472,0.161398768,3015.310059,54.91183897,0.114502251,128,0.002965249,0.191910314,1.82E-05,4,mean,relu,FALSE,TRUE,6,2
292,41,4/29/2025 20:04,2823.956543,53.14091214,0.163071692,3020.861816,54.96236727,0.112871826,128,0.00332548,0.169040722,4.74E-05,4,mean,relu,FALSE,TRUE,6,2
293,6,4/29/2025 20:04,2764.994629,52.58321623,0.180546045,3024.42627,54.99478402,0.111825109,128,0.003810536,0.241242827,2.06E-05,6,mean,relu,FALSE,TRUE,4,1
294,33,4/29/2025 20:04,2853.216309,53.41550626,0.154400051,3024.683838,54.99712572,0.111749411,128,0.00264559,0.204061588,2.94E-05,4,mean,relu,FALSE,TRUE,6,2
295,118,4/29/2025 20:04,2848.112305,53.36770845,0.155912638,3025.617188,55.00561051,0.111475348,160,0.002839497,0.167047266,5.11E-05,3,mean,relu,FALSE,TRUE,8,2
296,161,4/29/2025 20:04,2856.610107,53.44726473,0.153394222,3047.10376,55.20057753,0.105165422,128,0.002502953,0.195295805,2.51E-05,4,mean,relu,FALSE,TRUE,6,2
297,129,4/29/2025 20:04,2821.760742,53.12024795,0.163722456,3061.483398,55.33067322,0.100942612,160,0.003072893,0.180328419,6.95E-05,6,mean,relu,FALSE,TRUE,8,2
298,40,4/29/2025 20:04,2827.720947,53.17631942,0.161956012,3062.689453,55.34157075,0.100588441,160,0.003965709,0.158199523,1.03E-05,6,mean,relu,FALSE,TRUE,6,2
299,30,4/29/2025 20:04,2808.275635,52.99316593,0.167719007,3067.018066,55.3806651,0.099317253,160,0.003652562,0.225765202,5.34E-05,5,mean,relu,FALSE,TRUE,4,2
300,234,4/29/2025 20:04,2940.435059,54.22577854,0.128551185,3164.495605,56.25384969,0.070691288,192,0.003732269,0.215680446,2.83E-05,6,mean,relu,FALSE,TRUE,6,2
